en	ja	reading	lesson	note
operating system	オペレーティングシステム	おぺれーてぃんぐしすてむ	1	
OS	OS	OS	1	see: operating system
kernel	カーネル	かーねる	1	
abstraction	抽象化	ちゅうしょうか	1	hiding hardware details behind simpler interfaces
arbitration	調停	ちょうてい	1	management of hardware resources among applications
isolation	隔離	かくり	1	
protection	保護	ほご	1	
mechanism	機構	きこう	1	
policy	方針	ほうしん	1	
separation of mechanism and policy	機構と方針の分離	きこうとほうしんのぶんり	1	
optimize for the common case	頻繁に起こる場合の最適化	ひんぱんにおこるばあいのさいてきか	1	OS design principle
kernel mode	カーネルモード	かーねるもーど	1	privileged mode
user mode	ユーザモード	ゆーざもーど	1	unprivileged mode
mode bit	モードビット	もーどびっと	1	CPU bit selecting privileged execution
privileged instruction	特権命令	とっけんめいれい	1	
trap	トラップ	とらっぷ	1	
system call	システムコール	しすてむこーる	1	
signal	シグナル	しぐなる	1	notification from the OS to a process
monolithic operating system	モノリシックOS	ものりしっくOS	1	monolithic kernel
modular operating system	モジュール型OS	もじゅーるがたOS	1	
kernel module	カーネルモジュール	かーねるもじゅーる	1	loadable module
microkernel	マイクロカーネル	まいくろかーねる	1	
process	プロセス	ぷろせす	2	also called task
address space	アドレス空間	あどれすくうかん	2	
text segment	テキストセグメント	てきすとせぐめんと	2	code of the program
data segment	データセグメント	でーたせぐめんと	2	
heap	ヒープ	ひーぷ	2	
stack	スタック	すたっく	2	
virtual address	仮想アドレス	かそうあどれす	2	
physical address	物理アドレス	ぶつりあどれす	2	
page table	ページテーブル	ぺーじてーぶる	2	
program counter	プログラムカウンタ	ぷろぐらむかうんた	2	
PC	PC	PC	2	see: program counter
stack pointer	スタックポインタ	すたっくぽいんた	2	
process control block	プロセス制御ブロック	ぷろせすせいぎょぶろっく	2	
PCB	PCB	PCB	2	see: process control block
context switch	コンテキストスイッチ	こんてきすとすいっち	2	
hot cache	ホットキャッシュ	ほっときゃっしゅ	2	
cold cache	コールドキャッシュ	こーるどきゃっしゅ	2	
process state	プロセス状態	ぷろせすじょうたい	2	
new state	新規状態	しんきじょうたい	2	process state
ready state	実行可能状態	じっこうかのうじょうたい	2	process state
running state	実行状態	じっこうじょうたい	2	process state
waiting state	待ち状態	まちじょうたい	2	process state; blocked
terminated state	終了状態	しゅうりょうじょうたい	2	process state
fork	fork	fork	2	Unix process-creation system call
exec	exec	exec	2	Unix system call replacing the program image
parent process	親プロセス	おやぷろせす	2	
child process	子プロセス	こぷろせす	2	
init	init	init	2	root of the Unix process tree
Zygote	Zygote	Zygote	2	Android parent process of applications
CPU scheduler	CPUスケジューラ	CPUすけじゅーら	2	
ready queue	レディキュー	れでぃきゅー	2	cf. runqueue
preemption	プリエンプション	ぷりえんぷしょん	2	
dispatch	ディスパッチ	でぃすぱっち	2	
timeslice	タイムスライス	たいむすらいす	2	time quantum
inter-process communication	プロセス間通信	ぷろせすかんつうしん	2	
IPC	IPC	IPC	2	see: inter-process communication
message passing	メッセージパッシング	めっせーじぱっしんぐ	2	message-passing IPC
shared memory	共有メモリ	きょうゆうめもり	2	shared-memory IPC
thread	スレッド	すれっど	3	
multithreading	マルチスレッド	まるちすれっど	3	multithreaded process
parallelization	並列化	へいれつか	3	
specialization	特化	とっか	3	dedicating threads to specific tasks
concurrency	並行性	へいこうせい	3	
synchronization	同期	どうき	3	
race condition	競合状態	きょうごうじょうたい	3	data race
thread creation	スレッド生成	すれっどせいせい	3	Birrell: Fork(proc, args)
join	ジョイン	じょいん	3	Birrell: Join(thread); cf. pthread_join
mutual exclusion	相互排除	そうごはいじょ	3	
mutex	ミューテックス	みゅーてっくす	3	mutual exclusion lock
critical section	クリティカルセクション	くりてぃかるせくしょん	3	
condition variable	条件変数	じょうけんへんすう	3	
wait operation	wait操作	waitそうさ	3	condition variable: Wait(mutex, cond)
signal operation	signal操作	signalそうさ	3	condition variable: Signal(cond); distinct from Unix signal
broadcast operation	broadcast操作	broadcastそうさ	3	condition variable: Broadcast(cond)
producer-consumer problem	生産者・消費者問題	せいさんしゃしょうひしゃもんだい	3	
readers-writers problem	リーダ・ライタ問題	りーだらいたもんだい	3	
proxy variable	代理変数	だいりへんすう	3	variable encoding a resource's state for critical-section structure
spurious wake-up	スプリアスウェイクアップ	すぷりあすうぇいくあっぷ	3	
deadlock	デッドロック	でっどろっく	3	
